group,role,side,price_band,n_trades,n_contracts,avg_price,win_rate,avg_fee_per_contract,gross_mean_pp,gross_ci_low_pp,gross_ci_high_pp,net_mean_pp,net_se_pp,net_ci_low_pp,net_ci_high_pp,z_net
Entertainment,maker,yes,"[0.05,0.20)",100164,10193591,0.11065312886865546,0.12441595782916018,0.009999999999999941,1.37628289605047,1.1735422528322652,1.5790235392686751,0.3762828960504732,0.1034391036827576,0.17354225283226832,0.5790235392686782,3.6377238650918073
Weather,maker,no,"[0,0.05)",56295,8908738,0.021669420019539854,0.035278443911537435,0.009999999999999861,1.3609023891997518,1.209060781220418,1.512743997179086,0.3609023891997599,0.07747020815272142,0.20906078122042596,0.5127439971790939,4.658595837102858
Weather,maker,yes,"[0.20,0.40)",439542,16211223,0.2881135363628458,0.3016207779916367,0.010000000000000535,1.3507241628786053,1.21602280272767,1.4854255230295408,0.35072416287862346,0.0687251837504772,0.21602280272768815,0.4854255230295587,5.103284469227601
Science/Tech,taker,no,"[0.95,1]",6874,1308067,0.971793715449522,0.9851614780331684,0.009999999999999933,1.336776258364852,1.0538200482679563,1.619732468461748,0.33677625836485947,0.14436541331474279,0.05382004826796358,0.6197324684617553,2.332804309787318
World Events,taker,no,"[0.80,0.95)",16757,2647821,0.8802023035149468,0.8950886196813272,0.01161484752640674,1.488631616637823,1.027707319598997,1.949555913676649,0.3271468639971167,0.23499244368789968,-0.1334383256311667,0.7877320536254,1.3921590790877088
Weather,maker,no,"[0.60,0.80)",548031,20602636,0.6902843999700679,0.7033488981462728,0.010000000000000984,1.3064498176197916,1.1865850443945825,1.4263145908450008,0.30644981761981266,0.06115549654347402,0.18658504439460358,0.4263145908450217,5.01099385894062
Other,maker,no,"[0.95,1]",50017,9332828,0.9734180378671266,0.9864246156306856,0.00999999999999999,1.3006577763560396,1.1987525226875326,1.4025630300245464,0.30065777635604185,0.05199247636148316,0.19875252268753482,0.40256303002454885,5.782716989006006
Weather,maker,yes,"[0.05,0.20)",470286,22501431,0.11327636799734453,0.12585107785475222,0.010000000000000663,1.2574709857405786,1.1634956792209334,1.3514462922602235,0.2574709857405949,0.047946584959002565,0.1634956792209499,0.35144629226023993,5.36995462681543
Science/Tech,maker,yes,"[0.80,0.95)",9138,744780,0.8757857299190193,0.888159334646531,0.009999999999999922,1.2373604727511502,0.6016956720230088,1.8730252734792916,0.2373604727511581,0.32431877588170466,-0.3983043279769831,0.8730252734792993,0.731873978328456
Media,maker,yes,"[0.95,1]",16926,3751276,0.9822616093583839,0.9931466383079286,0.00999999999999999,1.0885028949545066,0.962745383564186,1.214260406344827,0.0885028949545096,0.06416199560730639,-0.03725461643581092,0.2142604063448301,1.3793663073726374
Entertainment,maker,no,"[0,0.05)",37521,8216776,0.023611844034007543,0.03424748807334559,0.00999999999999995,1.0635644039338,0.8792666166691828,1.2478621911984171,0.06356440393379975,0.09402948329827411,-0.12073338333081751,0.247862191198417,0.6760050327211194
Science/Tech,maker,no,"[0,0.05)",2822,875238,0.02634301913536497,0.03649893692416726,0.00999999999999999,1.0155917788802258,0.32380685360175804,1.7073767041586936,0.015591778880228932,0.3529514924890142,-0.6761931463982389,0.7073767041586967,0.04417541563651055
Other,maker,yes,"[0.05,0.20)",84571,6517051,0.11290335930756407,0.12186210403093259,0.00999999999999996,0.8958744723368788,0.6769986663753192,1.1147502782984382,-0.10412552766311194,0.11167132957222432,-0.3230013336246716,0.11475027829844772,-0.9324284761539255
Weather,maker,yes,"[0.95,1]",71919,19577825,0.9814445417761751,0.9901555917073375,0.009999999999999896,0.8711049931172564,0.7991431378459242,0.9430668483885888,-0.12889500688274022,0.03671523228129198,-0.20085686215407247,-0.05693315161140794,-3.510668430345676
